title,brand,price/currency,price/value,stars,reviewsCount,StarsCategory
ZENOTTIC Square Polarized Sunglasses for Men Ultralight Carbon Fiber Sun Glasses Driving Fishing Golf Sports UV400 Protection,ZENOTTIC,$,33.99,4.4,935.0,2
Polarized Sunglasses for Men Aluminum Mens Sunglasses Driving Rectangular Sun Glasses For Men/Women,monrich,$,20.997259999999997,4.3,6012.0,1
LUENX Aviator Sunglasses for Men Women Polarized New Shades Large Metal Frame - UV 400 Protection,LUENX,$,20.997259999999997,4.6,11285.0,2
SOJOS Retro Round Polarized Sunglasses for Women Men Classic Vintage Sunnies SJ2069,SOJOS,$,20.997259999999997,4.5,8860.0,2
Oakley Men's Oo9363 Flak Beta Rectangular Sunglasses,Oakley,$,20.997259999999997,4.4,1307.0,2
"KastKing Skidaway Polarized Sport Sunglasses for Men and Women,Ideal for Driving Fishing Cycling and Running,UV Protection",KastKing,$,26.99,4.4,9781.0,2
AEVOGUE Polarized Sunglasses For Women And Men Semi Rimless Frame Retro Sun Glasses AE0369,AEVOGUE,$,20.997259999999997,4.4,6017.0,2
BEACOOL Polarized Sports Sunglasses for Men Women Youth Baseball Fishing Cycling Running Golf Motorcycle Tac Glasses UV400,BEACOOL,$,21.99,4.4,12951.0,2
Retro Round Polarized Steampunk Sunglasses Men Women Side Shield Goggles Gothic S92-ADVANCED POLARIZED,Sunier,$,20.997259999999997,4.4,3721.0,2
Retro Rewind Polarized Sunglasses for Men and Women - UV Protection Classic Sun Glasses,Retro Rewind,$,14.99,4.4,11244.0,2
MEETSUN Polarized Sunglasses For Men Women UV Protection Square Frame Sport Fishing Driving Sunglasses,MEETSUN,$,20.997259999999997,4.4,337.0,2
ATTCL Men's Fashion Driving Polarized Sunglasses for Men - Al-Mg metal Ultralight Frame,ATTCL,$,20.997259999999997,4.3,4077.0,1
IRONMAN Men's Principle Sunglasses,IRONMAN,$,14.97,4.4,713.0,2
LUENX Aviator Sunglasses for Men Square Polarized Polygon Lens - UV 400 Protection with Accessories 61MM Driving Outdoor,LUENX,$,20.997259999999997,4.4,4536.0,2
"Oakley Man Sunglasses Matte Black Frame, Grey Lenses, 57MM",Oakley,$,0.007,4.5,2918.0,2
Fit Over Sunglasses Polarized Lens Wear Over Prescription Eyeglasses 100% UV Protection for Men and Women,Success Eyewear,$,15.99,4.3,4333.0,1
grinderPUNCH 2 Pack XL Polarized Men's Big Wide Frame Sunglasses - Large Head Fit,grinderPUNCH,$,20.997259999999997,4.2,854.0,1
"TIJN Polarized Colored Sunglasses for Womens Mens,Retro Small Round Frame,UV400 Protection Sunnies,Tinted Lens Vintage Style",TIJN,$,20.997259999999997,4.4,504.0,2
LUENX Rectangular Polarized Aviator Sunglasses for Men Retro Pilot Shades Driving UV400 Protection,LUENX,$,19.99,4.5,5389.0,2
KALIYADI Sunglasses Men Polarized for Mens and Womens Unisex Sun Glasses for Driving UV Protection,KALIYADI,$,20.997259999999997,4.5,8012.0,2
BOTPOV Aviator Sunglasses for Men Women Polarized UV400 Protection Mirrored Lens Metal Frame with Spring Hinges…,BOTPOV,$,15.98,4.3,11103.0,1
